,STATE_NAME,STUSAB,BG_Check_or_Permit,Extreme_Risk_law,No_ShootFirst,CC_Permit_Req,Charleston_Loophole_Closed,Secure_Storage,HighCap_Mags_Prohibited,MinAge_Purch,NoPurch_Violent_Offense,Auth_Deny_Purch,HG_Sales_Sent_To_Law,Open_Carry_Reg,AsWeap_Prohibit,Gun_Rem_Prog,Vio_Inter_Prog_Fund,Prohib_Convict_Dom_Abuse,Prohib_Dom_Abuser_Restrain_Order,Relinq_Convict_Dom_Abuse,Relinq_Restrain_Dom_Abuse,Ghost_Gun_Reg,No_Guns_K12,No_Guns_College,Local_Gun_Laws_Allow,School_Threat_Assess,Fug_Justice_Prohibit,Emer_Restrain_Order_Prohibit,Dealer_Lic_Req,Mental_Report,Consume_Safety,Train_to_Purch,Strong_CC_Auth,Office_Vio,Fel_Prohib,Mental_Prohib,Stalker_Prohib,Wait_Period,Lost_Stolen_Report,No_Carry_Vio_Offense,Notif_Fail_BG,Crime_Gun_Trace,No_Immune_Gun_Industry,Guns_Prohib_State_Cap,Hate_Crime_Prohib,No_Guns_Bars,Microstamp_Handguns,Fund_Victim_Gun_Vio,Pol_Use_Deadly_Force_Std,No_Law_Enforce_Officers_BoR,Qual_Immune_Lmtd,Pol_Use_Force_Collect,Control_Score,Likert_Scale
10,Hawaii,HI,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.0,1.5,1.0,1,1,1,1,0,1.0,1,1,1,0,0,0,1,0,0,89.0,VS
12,Illinois,IL,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1.0,1.5,1.0,1,1,1,1,1,1.0,1,1,1,0,1,1,0,0,0,87.5,VS
4,California,CA,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1,0,0,1,86.5,VS
20,Massachusetts,MA,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.0,0,1,1,0,1,1.0,0,1,0,0,0,0,1,0,0,86.0,VS
31,New York,NY,6.0,6.0,6.0,6.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1.0,1.5,1.0,0,1,1,0,0,1.0,1,1,1,1,0,0,1,0,1,85.5,VS
19,Maryland,MD,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.0,1,1,1,0,1,1.0,1,1,1,0,0,0,1,0,0,84.5,VS
29,New Jersey,NJ,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1,1,1,0,0,1.0,1,1,1,0,1,1,1,0,0,83.0,VS
6,Connecticut,CT,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.0,1.5,0.0,0,1,1,1,1,1.0,0,1,0,0,1,1,1,1,1,81.0,VS
36,Oregon,OR,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,1.0,1.5,1.0,0,1,1,1,1,1.0,1,0,0,0,0,0,0,0,1,72.0,Str
46,Washington,WA,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,1.5,1.5,0.0,1.5,0.0,1.0,1.0,1.5,0.0,1,0,0,1,0,1.0,1,1,1,0,0,0,1,0,0,67.5,Str
38,Rhode Island,RI,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,67.0,Str
5,Colorado,CO,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.0,1.0,0.0,1.0,1,1,0,1,0,1.0,1,1,0,0,0,0,1,1,1,63.0,Str
